Beam_Name,Applied Force Vertical,Applied Force Horizontal,Length,Gamma_M,Steel Class
,,,,,
400  x  400 x 6,40,59,10,1.15,355
,,,,,
400  x  400 x 12.5,85,87,12,1.15,355
,,,,,
200  x  120 x 5,7,3,7,1.15,355
,,,,,
500  x  300 x 10,81,39,13,1.15,355
,,,,,
350  x  350 x 6,43,89,7,1.15,355
,,,,,
400  x  400 x 6.3,85,29,9,1.15,355
,,,,,
160  x  160 x 4,62,21,2,1.15,355
,,,,,
300  x  300 x 8,13,86,6,1.15,355
,,,,,
300  x  300 x 6,18,23,10,1.15,355
,,,,,
300  x  300 x 8,13,26,11,1.15,355
,,,,,
300  x  200 x 5,94,30,4,1.15,355
,,,,,
250  x  250 x 6,20,61,5,1.15,355
,,,,,
300  x  300 x 6.3,57,55,7,1.15,355
,,,,,
500  x  300 x 8,84,14,12,1.15,355
,,,,,
120  x  120 x 4,91,58,1,1.15,355
,,,,,
350  x  150 x 6.3,96,17,5,1.15,355
,,,,,
350  x  350 x 6.3,5,14,18,1.15,355
,,,,,
350  x  350 x 6,13,9,18,1.15,355
,,,,,
400  x  400 x 10,28,85,11,1.15,355
,,,,,
350  x  350 x 6,2,91,7,1.15,355
,,,,,
350  x  350 x 6,62,37,8,1.15,355
,,,,,
500  x  200 x 8,47,5,14,1.15,355
,,,,,
300  x  300 x 8,26,25,11,1.15,355
,,,,,
350  x  350 x 6,34,41,10,1.15,355
,,,,,
500  x  300 x 12.5,37,18,20,1.15,355
,,,,,
350  x  150 x 5,78,8,5,1.15,355
,,,,,
500  x  300 x 16,62,39,16,1.15,355
,,,,,
150  x  150 x 4,24,24,3,1.15,355
,,,,,
400  x  400 x 8,36,86,10,1.15,355
,,,,,
400  x  400 x 6,64,4,10,1.15,355
,,,,,
350  x  250 x 6.3,43,20,9,1.15,355
,,,,,
120  x  60 x 3.6,59,10,1,1.15,355
,,,,,
160  x  160 x  5,79,72,2,1.15,355
,,,,,
300  x  300 x 6,75,31,6,1.15,355
,,,,,
160  x  160 x 6,15,84,2,1.15,355
,,,,,
400  x  400 x 12,58,64,13,1.15,355
,,,,,
400  x  400 x 12.5,57,33,15,1.15,355
,,,,,
250  x  250 x 8,51,35,6,1.15,355
,,,,,
200  x  120 x 6.3,64,6,3,1.15,355
,,,,,
400  x  400 x 8,68,72,10,1.15,355
,,,,,
400  x  400 x 6,93,49,8,1.15,355
,,,,,
300  x  300 x 8,38,31,9,1.15,355
,,,,,
400  x  200 x 8,96,2,7,1.15,355
,,,,,
450  x  250 x 10,98,7,10,1.15,355
,,,,,
120  x  120 x 4,99,36,1,1.15,355
,,,,,
400  x  400 x 8,38,36,14,1.15,355
,,,,,
350  x  350 x 8,14,37,12,1.15,355
,,,,,
400  x  400 x 8,8,26,18,1.15,355
,,,,,
500  x  300 x 10,40,3,19,1.15,355
,,,,,
400  x  400 x 8,85,45,10,1.15,355
,,,,,
400  x  400 x 6,14,8,21,1.15,355
,,,,,
400  x  400 x 6,83,31,9,1.15,355
,,,,,
300  x  300 x 6,7,21,11,1.15,355
,,,,,
350  x  350 x 8,47,56,10,1.15,355
,,,,,
200  x  200 x 10,29,42,5,1.15,355
,,,,,
300  x  300 x 6,65,70,6,1.15,355
,,,,,
400  x  400 x 12,72,37,13,1.15,355
,,,,,
400  x  300 x 8,59,8,11,1.15,355
,,,,,
160  x  160 x 4,34,64,2,1.15,355
,,,,,
250  x  150 x 5,89,15,3,1.15,355
,,,,,
500  x  300 x 17.5,54,20,21,1.15,355
,,,,,
400  x  200 x 8,33,11,12,1.15,355
,,,,,
250  x  250 x 6,51,58,5,1.15,355
,,,,,
400  x  400 x 8,6,55,12,1.15,355
,,,,,
400  x  400 x 12,19,84,12,1.15,355
,,,,,
300  x  200 x 5,92,24,4,1.15,355
,,,,,
400  x  200 x 6.3,34,10,11,1.15,355
,,,,,
400  x  400 x 12.5,67,88,12,1.15,355
,,,,,
450  x  250 x 8,45,7,13,1.15,355
,,,,,
300  x  200 x 5,47,28,5,1.15,355
,,,,,
300  x  200 x 5,61,8,5,1.15,355
,,,,,
400  x  400 x 6,72,64,9,1.15,355
,,,,,
300  x  300 x 8,29,27,10,1.15,355
,,,,,
200  x  100 x 5,94,28,2,1.15,355
,,,,,
180  x  180 x 10,65,92,3,1.15,355
,,,,,
200  x  150  x 5,60,21,3,1.15,355
,,,,,
300  x  200 x 6.3,83,41,5,1.15,355
,,,,,
250  x  150 x 5,100,14,3,1.15,355
,,,,,
400  x  400 x 10,17,15,25,1.15,355
,,,,,
400  x  400 x 10,36,77,11,1.15,355
,,,,,
160  x  160 x  5,82,81,2,1.15,355
,,,,,
400  x  400 x 6.3,9,24,17,1.15,355
,,,,,
300  x  300 x 6,91,60,5,1.15,355
,,,,,
150  x  100 x 4,39,15,2,1.15,355
,,,,,
400  x  200 x 6.3,88,28,7,1.15,355
,,,,,
350  x  150 x 5,52,6,6,1.15,355
,,,,,
140  x  140 x 4,37,38,2,1.15,355
,,,,,
250  x  250 x 6,26,59,5,1.15,355
,,,,,
150  x  150 x 4,16,25,3,1.15,355
,,,,,
500  x  300 x 10,45,21,18,1.15,355
,,,,,
400  x  400 x 8,91,60,9,1.15,355
,,,,,
400  x  400 x 6,21,35,13,1.15,355
,,,,,
400  x  400 x 12.5,2,89,12,1.15,355
,,,,,
500  x  300 x 17.5,81,28,17,1.15,355
,,,,,
200  x  200 x 8,57,40,4,1.15,355
,,,,,
350  x  150 x 5,42,4,7,1.15,355
,,,,,
400  x  300 x 14.2,76,46,12,1.15,355
,,,,,
300  x  300 x 6,49,55,7,1.15,355
,,,,,
300  x  300 x 8,95,78,6,1.15,355
,,,,,
400  x  400 x 6,37,73,9,1.15,355
,,,,,
250  x  250 x 6,57,77,4,1.15,355
,,,,,
250  x  250 x 8,69,77,5,1.15,355
,,,,,
200  x  120 x 5,100,42,2,1.15,355
,,,,,
200  x  200 x 10,10,14,9,1.15,355
,,,,,
160  x  160 x 6,6,89,2,1.15,355
,,,,,
300  x  300 x 6.3,80,12,6,1.15,355
,,,,,
350  x  350 x 6,18,49,9,1.15,355
,,,,,
500  x  300 x 14.2,97,40,14,1.15,355
,,,,,
140  x  140 x 4,34,33,2,1.15,355
,,,,,
350  x  150 x 6.3,98,23,5,1.15,355
,,,,,
500  x  200 x 14.2,36,7,21,1.15,355
,,,,,
400  x  400 x 6,17,96,8,1.15,355
,,,,,
400  x  400 x 8,35,63,11,1.15,355
,,,,,
400  x  400 x 10,16,33,17,1.15,355
,,,,,
450  x  250 x 10,56,16,13,1.15,355
,,,,,
120  x  120 x 4,90,95,1,1.15,355
,,,,,
180  x  180 x 6,16,34,4,1.15,355
,,,,,
500  x  300 x 16,79,2,17,1.15,355
,,,,,
160  x  160 x 4,68,9,2,1.15,355
,,,,,
350  x  350 x 6,65,89,7,1.15,355
,,,,,
300  x  300 x 6,56,30,7,1.15,355
,,,,,
250  x  250 x 8,31,21,8,1.15,355
,,,,,
250  x  150 x 5,57,22,4,1.15,355
,,,,,
400  x  200 x 6.3,52,10,9,1.15,355
,,,,,
500  x  300 x 12.5,36,20,20,1.15,355
,,,,,
500  x  300 x 16,96,13,15,1.15,355
,,,,,
400  x  400 x 6.3,13,27,16,1.15,355
,,,,,
140  x  140 x 4,38,43,2,1.15,355
,,,,,
350  x  150 x 6.3,7,1,18,1.15,355
,,,,,
180  x  180 x 5,99,81,2,1.15,355
,,,,,
500  x  300 x 8,48,15,15,1.15,355
,,,,,
250  x  250 x 6,44,82,4,1.15,355
,,,,,
180  x  180 x 6.3,1,64,3,1.15,355
,,,,,
400  x  400 x 10,30,95,10,1.15,355
,,,,,
300  x  300 x 6,93,41,5,1.15,355
,,,,,
400  x  400 x 12,25,55,14,1.15,355
,,,,,
350  x  350 x 6,81,76,7,1.15,355
,,,,,
150  x  150 x 4,21,25,3,1.15,355
,,,,,
300  x  200 x 6.3,43,22,7,1.15,355
,,,,,
300  x  200 x 5,36,1,7,1.15,355
,,,,,
400  x  400 x 10,26,95,10,1.15,355
,,,,,
150  x  150 x 4,16,51,2,1.15,355
,,,,,
200  x  200 x 6,77,62,3,1.15,355
,,,,,
300  x  300 x 6.3,2,78,6,1.15,355
,,,,,
400  x  400 x 10,81,89,10,1.15,355
,,,,,
250  x  250 x 6,57,61,5,1.15,355
,,,,,
500  x  200 x 8,92,19,10,1.15,355
,,,,,
250  x  250 x 6,1,9,12,1.15,355
,,,,,
500  x  300 x 14.2,78,29,16,1.15,355
,,,,,
300  x  300 x 6,19,10,11,1.15,355
,,,,,
250  x  250 x 6.3,32,65,5,1.15,355
,,,,,
300  x  200 x 5,90,23,4,1.15,355
,,,,,
250  x  150 x 6.3,65,15,4,1.15,355
,,,,,
400  x  400 x 8,94,94,9,1.15,355
,,,,,
350  x  350 x 6,2,15,16,1.15,355
,,,,,
120  x  80 x 4,76,34,1,1.15,355
,,,,,
400  x  400 x 6,32,20,14,1.15,355
,,,,,
200  x  200 x 10,64,68,4,1.15,355
,,,,,
400  x  400 x 10,55,93,10,1.15,355
,,,,,
120  x  120 x 4,22,98,1,1.15,355
,,,,,
250  x  250 x 8,55,52,6,1.15,355
,,,,,
120  x  120 x 3,15,67,1,1.15,355
,,,,,
160  x  160 x 4,61,62,2,1.15,355
,,,,,
350  x  250 x 6.3,81,53,6,1.15,355
,,,,,
250  x  100 x 5,74,10,3,1.15,355
,,,,,
400  x  400 x 10,21,22,21,1.15,355
,,,,,
400  x  400 x 6,50,2,11,1.15,355
,,,,,
350  x  350 x 8,57,42,10,1.15,355
,,,,,
80  x  80 x 3,7,22,1,1.15,355
,,,,,
350  x  250 x 6.3,94,24,6,1.15,355
,,,,,
400  x  400 x 6.3,26,30,15,1.15,355
,,,,,
140  x  140 x 4,28,43,2,1.15,355
,,,,,
400  x  400 x 6,21,78,9,1.15,355
,,,,,
200  x  200 x 10,16,30,6,1.15,355
,,,,,
300  x  200 x 5,99,10,4,1.15,355
,,,,,
400  x  400 x 12.5,5,43,17,1.15,355
,,,,,
400  x  400 x 10,86,68,11,1.15,355
,,,,,
200  x  200 x 8,18,36,5,1.15,355
,,,,,
400  x  400 x 6,31,65,10,1.15,355
,,,,,
350  x  350 x 6,29,85,7,1.15,355
,,,,,
500  x  300 x 16,82,34,16,1.15,355
,,,,,
500  x  300 x 8,39,19,16,1.15,355
,,,,,
300  x  100 x 5,39,8,5,1.15,355
,,,,,
200  x  200 x 10,42,66,4,1.15,355
,,,,,
450  x  250 x 8,19,2,21,1.15,355
,,,,,
350  x  250 x 6.3,51,15,8,1.15,355
,,,,,
250  x  250 x 6,23,99,4,1.15,355
,,,,,
350  x  350 x 8,70,23,9,1.15,355
,,,,,
300  x  300 x 8,8,88,6,1.15,355
,,,,,
500  x  300 x 10,88,37,13,1.15,355
,,,,,
200  x  200 x 6,4,4,14,1.15,355
,,,,,
300  x  300 x 8,9,89,6,1.15,355
,,,,,
140  x  140 x 4,31,44,2,1.15,355
,,,,,
400  x  400 x 12,16,27,21,1.15,355
,,,,,
160  x  160 x  5,12,83,2,1.15,355
,,,,,
300  x  300 x 6,77,96,5,1.15,355
,,,,,
400  x  400 x 10,59,51,13,1.15,355
,,,,,
200  x  200 x 5,67,22,3,1.15,355
,,,,,
500  x  300 x 10,36,9,20,1.15,355
,,,,,
250  x  250 x 6,97,87,4,1.15,355
,,,,,
200  x  120 x 8,77,30,3,1.15,355
,,,,,
160  x  160 x  5,30,78,2,1.15,355
,,,,,
120  x  120 x 3,51,78,1,1.15,355
,,,,,
400  x  400 x 6.3,31,58,11,1.15,355
,,,,,
300  x  200 x 5,100,19,4,1.15,355
,,,,,
400  x  400 x 6,4,58,10,1.15,355
,,,,,
500  x  300 x 10,88,47,12,1.15,355
,,,,,
200  x  200 x 10,11,40,5,1.15,355
,,,,,
400  x  400 x 10,1,42,15,1.15,355
,,,,,
250  x  250 x 6,44,50,5,1.15,355
,,,,,
400  x  400 x 6,60,2,10,1.15,355
,,,,,
400  x  400 x 10,11,65,12,1.15,355
,,,,,
400  x  400 x 10,7,87,11,1.15,355
,,,,,
120  x  120 x 3,73,74,1,1.15,355
,,,,,
300  x  300 x 6,49,22,7,1.15,355
,,,,,
200  x  200 x 6,62,86,3,1.15,355
,,,,,
120  x  120 x 3,5,83,1,1.15,355
,,,,,
400  x  400 x 12.5,88,53,12,1.15,355
,,,,,
500  x  300 x 12.5,82,9,14,1.15,355
,,,,,
100  x  100 x 4,55,43,1,1.15,355
,,,,,
200  x  200 x 6.3,26,90,3,1.15,355
,,,,,
350  x  350 x 8,54,84,8,1.15,355
,,,,,
250  x  250 x 6,43,55,5,1.15,355
,,,,,
400  x  400 x 6,61,36,10,1.15,355
,,,,,
350  x  250 x 6.3,93,20,6,1.15,355
,,,,,
300  x  300 x 6,15,42,8,1.15,355
,,,,,
200  x  120 x 5,27,4,4,1.15,355
,,,,,
250  x  250 x 6,39,79,4,1.15,355
,,,,,
500  x  300 x 8,70,11,13,1.15,355
,,,,,
300  x  200 x 5,81,57,4,1.15,355
,,,,,
400  x  400 x 10,61,96,10,1.15,355
,,,,,
400  x  400 x 6,100,13,8,1.15,355
,,,,,
400  x  400 x 10,32,54,14,1.15,355
,,,,,
300  x  300 x 6,38,77,6,1.15,355
,,,,,
400  x  400 x 12,21,94,11,1.15,355
,,,,,
400  x  400 x 8,44,45,13,1.15,355
,,,,,
350  x  350 x 6,35,58,8,1.15,355
,,,,,
90  x  90 x 3.5,3,40,1,1.15,355
,,,,,
400  x  400 x 8,70,66,11,1.15,355
,,,,,
500  x  300 x 8,81,37,11,1.15,355
,,,,,
100  x  100 x 3,20,44,1,1.15,355
,,,,,
500  x  300 x 8,70,31,13,1.15,355
,,,,,
400  x  200 x 6.3,77,4,7,1.15,355
,,,,,
500  x  300 x 17.5,96,15,16,1.15,355
,,,,,
300  x  200 x 5,36,6,7,1.15,355
,,,,,
180  x  180 x 10,93,85,3,1.15,355
,,,,,
120  x  120 x 3,69,76,1,1.15,355
,,,,,
200  x  200 x 6,16,27,5,1.15,355
,,,,,
400  x  400 x 12.5,9,39,18,1.15,355
,,,,,
400  x  400 x 6.3,27,21,16,1.15,355
,,,,,
500  x  300 x 14.2,89,12,15,1.15,355
,,,,,
400  x  400 x 6,66,37,10,1.15,355
,,,,,
300  x  300 x 8,21,96,6,1.15,355
,,,,,
350  x  350 x 6,20,30,11,1.15,355
,,,,,
120  x  120 x 3,7,66,1,1.15,355
,,,,,
450  x  250 x 12.5,64,12,14,1.15,355
,,,,,
400  x  400 x 12,1,19,24,1.15,355
,,,,,
400  x  400 x 8,43,88,9,1.15,355
,,,,,
500  x  300 x 17.5,81,12,17,1.15,355
,,,,,
450  x  250 x 8,54,7,12,1.15,355
,,,,,
500  x  300 x 16,94,14,15,1.15,355
,,,,,
300  x  200 x 5,59,1,5,1.15,355
,,,,,
300  x  300 x 6,83,68,5,1.15,355
,,,,,
500  x  200 x 12.5,37,4,19,1.15,355
,,,,,
500  x  300 x 12.5,99,27,13,1.15,355
,,,,,
250  x  250 x 6,75,78,4,1.15,355
,,,,,
350  x  350 x 8,67,56,9,1.15,355
,,,,,
250  x  150 x 5,88,11,3,1.15,355
,,,,,
500  x  200 x 8,60,5,12,1.15,355
,,,,,
400  x  400 x 10,50,57,13,1.15,355
,,,,,
300  x  300 x 8,27,29,11,1.15,355
,,,,,
450  x  250 x 8,23,4,19,1.15,355
,,,,,
400  x  400 x 8,11,21,19,1.15,355
,,,,,
160  x  160 x 6,84,58,2,1.15,355
,,,,,
120  x  120 x 3,65,70,1,1.15,355
,,,,,
450  x  250 x 10,65,25,12,1.15,355
,,,,,
500  x  200 x 14.2,70,14,15,1.15,355
,,,,,
500  x  300 x 8,65,36,12,1.15,355
,,,,,
300  x  300 x 8,39,41,9,1.15,355
,,,,,
450  x  250 x 8,82,4,10,1.15,355
,,,,,
350  x  350 x 8,31,47,11,1.15,355
,,,,,
200  x  200 x 8,46,56,4,1.15,355
,,,,,
400  x  400 x 6,34,32,14,1.15,355
,,,,,
300  x  300 x 8,34,49,8,1.15,355
,,,,,
350  x  350 x 8,58,74,8,1.15,355
,,,,,
400  x  200 x 8,31,9,13,1.15,355
,,,,,
400  x  400 x 6,77,4,9,1.15,355
,,,,,
300  x  300 x 6,65,45,6,1.15,355
,,,,,
160  x  160 x 4,55,64,2,1.15,355
,,,,,
500  x  300 x 14.2,66,13,17,1.15,355
,,,,,
400  x  400 x 10,16,54,13,1.15,355
,,,,,
450  x  250 x 10,96,41,10,1.15,355
,,,,,
250  x  250 x 6,7,11,12,1.15,355
,,,,,
500  x  300 x 8,55,28,13,1.15,355
,,,,,
400  x  400 x 10,82,55,11,1.15,355
,,,,,
400  x  400 x 6.3,20,48,12,1.15,355
,,,,,
350  x  350 x 8,64,90,8,1.15,355
,,,,,
500  x  300 x 16,37,5,24,1.15,355
,,,,,
200  x  200 x 8,96,70,3,1.15,355
,,,,,
200  x  100 x 4,74,1,2,1.15,355
,,,,,
500  x  300 x 10,56,6,16,1.15,355
,,,,,
400  x  400 x 10,26,44,15,1.15,355
,,,,,
200  x  100 x 4,82,5,2,1.15,355
,,,,,
400  x  400 x 10,82,87,11,1.15,355
,,,,,
120  x  120 x 5,7,31,2,1.15,355
,,,,,
180  x  180 x 6,4,20,5,1.15,355
,,,,,
350  x  250 x 6.3,70,23,7,1.15,355
,,,,,
250  x  250 x 6,9,50,5,1.15,355
,,,,,
300  x  300 x 6.3,58,26,7,1.15,355
,,,,,
120  x  120 x 4,89,89,1,1.15,355
,,,,,
400  x  300 x 17.5,35,20,20,1.15,355
,,,,,
400  x  200 x 8,43,7,11,1.15,355
,,,,,
140  x  140 x 4,9,41,2,1.15,355
,,,,,
300  x  300 x 6,23,17,11,1.15,355
,,,,,
250  x  150 x 5,87,26,3,1.15,355
,,,,,
400  x  400 x 12,75,85,12,1.15,355
,,,,,
350  x  350 x 6.3,18,4,16,1.15,355
,,,,,
200  x  100 x 6.3,32,3,4,1.15,355
,,,,,
350  x  150 x 6.3,40,4,8,1.15,355
,,,,,
400  x  400 x 8,90,61,9,1.15,355
,,,,,
500  x  300 x 17.5,66,27,19,1.15,355
,,,,,
120  x  120 x 4,84,88,1,1.15,355
,,,,,
350  x  250 x 6.3,75,39,7,1.15,355
,,,,,
400  x  400 x 6,25,32,14,1.15,355
,,,,,
120  x  120 x 3,72,85,1,1.15,355
,,,,,
400  x  400 x 6,41,83,9,1.15,355
,,,,,
300  x  300 x 6.3,15,79,6,1.15,355
,,,,,
400  x  400 x 10,61,93,10,1.15,355
,,,,,
160  x  160 x 6,2,24,4,1.15,355
,,,,,
250  x  250 x 6,51,57,5,1.15,355
,,,,,
160  x  160 x 6,19,43,3,1.15,355
,,,,,
350  x  350 x 8,90,8,8,1.15,355
,,,,,
300  x  300 x 8,86,92,6,1.15,355
,,,,,
400  x  200 x 6.3,84,10,7,1.15,355
,,,,,
100  x  60 x 3.6,40,3,1,1.15,355
,,,,,
400  x  400 x 8,72,74,10,1.15,355
,,,,,
120  x  120 x 3,45,69,1,1.15,355
,,,,,
200  x  150  x 5,60,10,3,1.15,355
,,,,,
500  x  300 x 17.5,83,53,14,1.15,355
,,,,,
120  x  120 x 3,8,67,1,1.15,355
,,,,,
300  x  300 x 6,42,2,8,1.15,355
,,,,,
400  x  400 x 8,64,98,9,1.15,355
,,,,,
250  x  150 x 5,52,10,4,1.15,355
,,,,,
300  x  300 x 6,20,16,11,1.15,355
,,,,,
120  x  120 x 5,31,29,2,1.15,355
,,,,,
400  x  400 x 12,32,70,13,1.15,355
,,,,,
400  x  400 x 6,84,99,8,1.15,355
,,,,,
300  x  300 x 6.3,74,78,6,1.15,355
,,,,,
500  x  200 x 14.2,32,1,22,1.15,355
,,,,,
400  x  400 x 8,28,40,14,1.15,355
,,,,,
160  x  160 x 4,34,68,2,1.15,355
,,,,,
400  x  400 x 10,32,61,13,1.15,355
,,,,,
250  x  250 x 6,23,40,6,1.15,355
,,,,,
200  x  200 x 8,36,56,4,1.15,355
,,,,,
300  x  200 x 6.3,40,16,7,1.15,355
,,,,,
250  x  150 x 5,92,17,3,1.15,355
,,,,,
250  x  250 x 8,8,10,14,1.15,355
,,,,,
300  x  300 x 6,3,50,7,1.15,355
,,,,,
350  x  350 x 8,13,42,11,1.15,355
,,,,,
500  x  300 x 16,68,3,18,1.15,355
,,,,,
400  x  400 x 12.5,11,29,21,1.15,355
,,,,,
400  x  400 x 8,6,71,11,1.15,355
,,,,,
450  x  250 x 8,25,8,18,1.15,355
,,,,,
300  x  200 x 5,41,4,6,1.15,355
,,,,,
250  x  250 x 6,9,84,4,1.15,355
,,,,,
300  x  100 x 6.3,84,12,4,1.15,355
,,,,,
250  x  250 x 8,54,36,6,1.15,355
,,,,,
500  x  300 x 17.5,71,42,16,1.15,355
,,,,,
500  x  200 x 10,54,4,14,1.15,355
,,,,,
350  x  350 x 8,48,30,10,1.15,355
,,,,,
400  x  400 x 10,50,89,10,1.15,355
,,,,,
160  x  160 x  5,79,57,2,1.15,355
,,,,,
300  x  300 x 6,53,85,5,1.15,355
,,,,,
300  x  300 x 6,38,59,6,1.15,355
,,,,,
100  x  100 x 4,22,63,1,1.15,355
,,,,,
400  x  400 x 12,54,29,15,1.15,355
,,,,,
200  x  200 x 6,25,76,3,1.15,355
,,,,,
450  x  250 x 8,62,8,11,1.15,355
,,,,,
500  x  300 x 16,34,8,25,1.15,355
,,,,,
400  x  400 x 8,35,79,10,1.15,355
,,,,,
350  x  350 x 8,68,9,9,1.15,355
,,,,,
120  x  120 x 3,71,79,1,1.15,355
,,,,,
400  x  400 x 8,6,36,14,1.15,355
,,,,,
120  x  60 x 5,81,27,1,1.15,355
,,,,,
200  x  200 x 8,83,99,3,1.15,355
,,,,,
400  x  400 x 12.5,87,76,12,1.15,355
,,,,,
400  x  400 x 10,46,88,10,1.15,355
,,,,,
350  x  350 x 8,81,78,8,1.15,355
,,,,,
200  x  120 x 5,48,7,3,1.15,355
,,,,,
200  x  200 x 5,62,67,3,1.15,355
,,,,,
300  x  300 x 6,90,88,5,1.15,355
,,,,,
500  x  300 x 16,95,44,15,1.15,355
,,,,,
400  x  400 x 10,49,88,11,1.15,355
,,,,,
200  x  150 x 8,33,21,5,1.15,355
,,,,,
500  x  300 x 17.5,84,18,17,1.15,355
,,,,,
500  x  300 x 8,53,13,15,1.15,355
,,,,,
120  x  120 x 3,59,78,1,1.15,355
,,,,,
200  x  120 x 5,50,14,3,1.15,355
,,,,,
200  x  100 x 4,18,5,4,1.15,355
,,,,,
400  x  400 x 8,94,97,9,1.15,355
,,,,,
400  x  400 x 10,52,45,14,1.15,355
,,,,,
350  x  350 x 6,51,29,9,1.15,355
,,,,,
400  x  300 x 17.5,94,58,12,1.15,355
,,,,,
300  x  300 x 6,26,61,6,1.15,355
,,,,,
200  x  200 x 6,47,34,4,1.15,355
,,,,,
100  x  100 x 6,85,80,1,1.15,355
,,,,,
400  x  400 x 12.5,38,39,18,1.15,355
,,,,,
350  x  350 x 6.3,69,71,8,1.15,355
,,,,,
300  x  300 x 6,5,7,18,1.15,355
,,,,,
350  x  350 x 6,12,64,8,1.15,355
,,,,,
500  x  300 x 16,51,30,18,1.15,355
,,,,,
200  x  120 x 5,99,36,2,1.15,355
,,,,,
300  x  300 x 6,30,20,9,1.15,355
,,,,,
120  x  80 x 4,75,5,1,1.15,355
,,,,,
500  x  200 x 12.5,25,2,23,1.15,355
,,,,,
300  x  300 x 6,4,96,5,1.15,355
,,,,,
500  x  200 x 12.5,89,13,12,1.15,355
,,,,,
300  x  300 x 6,13,5,13,1.15,355
,,,,,
400  x  400 x 8,88,73,9,1.15,355
,,,,,
250  x  100 x 5,78,10,3,1.15,355
,,,,,
300  x  300 x 6,13,4,14,1.15,355
,,,,,
400  x  400 x 6,78,46,9,1.15,355
,,,,,
350  x  350 x 8,2,10,24,1.15,355
,,,,,
400  x  400 x 6.3,22,58,11,1.15,355
,,,,,
350  x  350 x 6,7,61,8,1.15,355
,,,,,
400  x  400 x 10,56,40,13,1.15,355
,,,,,
500  x  300 x 12.5,51,11,19,1.15,355
,,,,,
500  x  300 x 10,83,22,13,1.15,355
,,,,,
400  x  400 x 8,34,9,16,1.15,355
,,,,,
400  x  400 x 8,2,17,22,1.15,355
,,,,,
120  x  120 x 3,76,55,1,1.15,355
,,,,,
500  x  300 x 16,84,59,13,1.15,355
,,,,,
300  x  300 x 6,7,36,8,1.15,355
,,,,,
400  x  400 x 10,13,19,22,1.15,355
,,,,,
500  x  300 x 16,99,13,15,1.15,355
,,,,,
250  x  250 x 6,14,25,7,1.15,355
,,,,,
150  x  150 x 4,28,53,2,1.15,355
,,,,,
200  x  200 x 6.3,36,50,4,1.15,355
,,,,,
400  x  400 x 12,5,55,15,1.15,355
,,,,,
250  x  150 x 5,56,3,4,1.15,355
,,,,,
200  x  200 x 10,6,23,7,1.15,355
,,,,,
400  x  200 x 8,62,7,9,1.15,355
,,,,,
90  x  50 x 3.6,3,1,3,1.15,355
,,,,,
200  x  200 x 6,27,23,5,1.15,355
,,,,,
160  x  160 x 6,5,41,3,1.15,355
,,,,,
400  x  400 x 10,88,74,11,1.15,355
,,,,,
400  x  200 x 6.3,31,4,11,1.15,355
,,,,,
350  x  250 x 6.3,36,17,9,1.15,355
,,,,,
500  x  200 x 12.5,46,2,17,1.15,355
,,,,,
180  x  180 x 5,17,10,5,1.15,355
,,,,,
300  x  300 x 6,1,74,6,1.15,355
,,,,,
400  x  400 x 6,97,20,8,1.15,355
,,,,,
500  x  300 x 17.5,40,15,24,1.15,355
,,,,,
300  x  300 x 6,57,100,5,1.15,355
,,,,,
300  x  300 x 6,37,76,6,1.15,355
,,,,,
400  x  200 x 8,30,10,13,1.15,355
,,,,,
350  x  250 x 6.3,82,32,6,1.15,355
,,,,,
350  x  350 x 6,86,80,7,1.15,355
,,,,,
400  x  400 x 8,30,96,9,1.15,355
,,,,,
350  x  350 x 8,27,77,8,1.15,355
,,,,,
500  x  300 x 12.5,69,28,15,1.15,355
,,,,,
160  x  80 x 4,18,3,3,1.15,355
,,,,,
400  x  400 x 8,80,34,10,1.15,355
,,,,,
100  x  100 x 3,9,12,2,1.15,355
,,,,,
350  x  350 x 8,87,21,8,1.15,355
,,,,,
350  x  350 x 6,16,25,13,1.15,355
,,,,,
250  x  250 x 8,3,12,12,1.15,355
,,,,,
300  x  100 x 5,60,11,4,1.15,355
,,,,,
400  x  400 x 6.3,64,70,10,1.15,355
,,,,,
120  x  120 x 4,90,87,1,1.15,355
,,,,,
120  x  60 x 6.3,95,19,1,1.15,355
,,,,,
300  x  300 x 6.3,37,58,7,1.15,355
,,,,,
500  x  300 x 12.5,94,29,13,1.15,355
,,,,,
350  x  350 x 6,24,43,10,1.15,355
,,,,,
450  x  250 x 10,89,34,10,1.15,355
,,,,,
200  x  200 x 6,79,82,3,1.15,355
,,,,,
450  x  250 x 10,39,2,16,1.15,355
,,,,,
500  x  300 x 14.2,35,2,24,1.15,355
,,,,,
400  x  400 x 12,33,64,13,1.15,355
,,,,,
350  x  350 x 6,9,17,15,1.15,355
,,,,,
300  x  300 x 8,72,55,7,1.15,355
,,,,,
350  x  350 x 6,78,78,7,1.15,355
,,,,,
350  x  350 x 8,38,60,9,1.15,355
,,,,,
120  x  120 x 3,13,18,2,1.15,355
,,,,,
400  x  400 x 10,32,61,13,1.15,355
,,,,,
300  x  200 x 6.3,43,17,7,1.15,355
,,,,,
160  x  160 x  5,83,73,2,1.15,355
,,,,,
400  x  400 x 12,42,49,15,1.15,355
,,,,,
120  x  80 x 5,87,9,1,1.15,355
,,,,,
400  x  400 x 10,35,74,11,1.15,355
,,,,,
300  x  200 x 6.3,58,30,6,1.15,355
,,,,,
